,flood,formal_structure_damages,subsidized_structure_damages,informal_structure_damages,backyard_structure_damages,formal_content_damages,subsidized_content_damages,informal_content_damages,backyard_content_damages
0,FU_5yr,699740591.8533697,47849818.15779053,1236886.6766461993,762353.4270487197,388374583.13079995,2286473.8175223786,1719064.8345003885,1329905.8762291293
1,FU_10yr,954382737.1811967,75431599.47704887,2006507.7082928084,1089886.2922360972,541736417.080733,3435634.9245122476,2986111.9381192117,1841125.9067538683
2,FU_20yr,1198587840.1890771,96042684.3846044,2502047.542366366,1379255.7531179998,679449446.8478347,4296049.073184581,3867427.224254774,2239740.5645780256
3,FU_50yr,1526934787.5266938,126109342.82723543,3259126.8657077933,1820660.7462101807,875516340.8864144,5489329.468798526,5177620.678015754,2908898.5909895557
4,FU_75yr,1688878828.2125282,151603890.49350262,3672206.0451272326,2067150.2984250328,967769008.6847878,6484560.300141964,5817011.655656714,3349417.3485801863
5,FU_100yr,1826483394.2743316,165169746.8493709,3957688.790621955,2232784.0010319,1040612384.6915312,7146538.359692244,6320954.2248391565,3688108.096188522
6,FU_200yr,2178083321.72987,201227254.78737003,4735043.49512975,2701440.305819663,1240995802.1631074,8979338.405686436,7666348.120752122,4752711.983257053
7,FU_250yr,2308682164.2162356,213966273.9506252,5052218.191434457,2895621.9940096163,1316922299.7998033,9636138.187043702,8164094.867324781,5202406.102486651
8,FU_500yr,2715275863.1193223,265642165.29976675,6084808.676722446,3534527.0923152547,1555457819.6591349,11846121.481283084,9798840.337877816,6635788.627669797
9,FU_1000yr,3180345852.8755603,330642723.7874396,7615298.618840121,4259074.014509365,1825516378.361559,15081423.17629138,12427426.723758984,8149404.056727687
